简称,全名,基准价,跳蚤价,商人收购价,收购商人,差价
AG FAL,Fab AG FAL SA-58手枪式握把,8213,80000,4599,Mechanic,75401
奥地利型,SA-58 Austrian Style 7.62x51膛口制退器,2339,47888,1309,Mechanic,46579
2A X3,"2A ""X3"" 7.62x51 AR-10补偿器",7817,15420,4377,Mechanic,11043
FAL防尘,FAL标准防尘盖,2501,2411,1400,Mechanic,1011
Hex Blk,Hexagon AK护木,29840,16000,16710,Mechanic,-710
Hexagon中,Hexagon中长度导轨,1473,65000,883,Jaeger,64117
Hex.,Hexagon短长度导轨,1108,22222,664,Jaeger,21558
Hex red,Hexagon AK护木（Anodized Red）,44005,1500000,24642,Mechanic,1475358
SA-58 AUT,DS Arms SA-58 7.62x51 突击步枪 AUT,79143,350000,44317,Mechanic,305683
SA-58 BEL,DS Arms SA-58 7.62x51 突击步枪 BEL,92046,114514,51542,Mechanic,62972
SA-58 PBR,DS Arms SA-58 7.62x51 突击步枪 PBR,190767,210000,106826,Mechanic,103174
Hex.,Hexagon短长度导轨（Anodized Red）,6502,349000,3901,Jaeger,345099
Hex.,Hexagon中长度导轨（Anodized Red）,7771,88000,4662,Jaeger,83338
莫辛狙击型 默认,莫辛-纳甘 7.62x54R 栓动式步枪（狙击型） 默认,25812,290000,14452,Mechanic,275548
Bramit,Bramit莫辛步枪消音器,41253,27000,23101,Mechanic,3899
MP7A1,HK MP7A1 4.6x30 微型冲锋枪,44288,72000,24801,Mechanic,47199
MP7 20,MP7 4.6x30 20发标准弹匣,4026,4000,2254,Mechanic,1746
MP7 30,MP7 4.6x30 30发标准弹匣,6001,15000,3360,Mechanic,11640
MP7 40,MP7 4.6x30 40发标准弹匣,12142,37999,6799,Mechanic,31200
FMJ SX,4.6x30毫米 FMJ SX,425,1300,238,Mechanic,1062
Action SX,4.6x30毫米 Action SX,70,170,39,Mechanic,131
AP SX,4.6x30毫米 AP SX,745,6800,417,Mechanic,6383
Subsonic SX,4.6x30毫米 Subsonic SX,100,450,56,Mechanic,394
MP7,HK A1 4.6x30 MP7消焰器,911,25000,510,Mechanic,24490
Rotex 2,HK MP7 B&T Rotex 2 4.6x30消音器,52790,50000,29562,Mechanic,20438
MP7折叠准星,MP7可折叠准星,602,600,337,Mechanic,263
MP7折叠照门,MP7可折叠照门,803,9999,449,Mechanic,9550
NSPU-M眼罩,NSPU-M瞄准镜眼罩,261,5555,146,Mechanic,5409
AKM (AKMB),AKM 7.62×39 突击步枪 (AKMB),87069,0,48754,Mechanic,0
AKMS (AKMSB 6P4M),AKMS 7.62×39 突击步枪 (AKMSB 6P4M),85972,0,48139,Mechanic,0
AKM (AKMP),AKM 7.62×39 突击步枪 (AKMP),40452,0,22648,Mechanic,0
AKMS (AKMSP),AKMS 7.62×39 突击步枪 (AKMSP),39355,0,22033,Mechanic,0
AKMN (AKMN2 6P1N2),AKMN 7.62x39 突击步枪 (AKMN2 6P1N2),57995,0,32471,Mechanic,0
AKMSN (AKMSN2 6P4N2),AKMSN 7.62x39 突击步枪 (AKMSN2 6P4N2),53508,0,29959,Mechanic,0
Archangel OPFOR PRS,ProMag Archangel OPFOR PRS莫辛步枪枪托,20551,55555,12330,Jaeger,43225
AA762R 02,7.62x54r ProMag OPFOR Archangel套件10发莫辛步枪弹匣,6129,69994,3432,Mechanic,66562
416A5上机匣,HK 416A5 5.56x45 416A5上机匣,6500,40000,3640,Mechanic,36360
11英寸416A5 5.56x45,11英寸416A5兼容枪管 5.56x45,24130,22222,14478,Jaeger,7744
14.5英寸416A5 5.56x45,14.5英寸416A5兼容枪管 5.56x45,27400,35000,16440,Jaeger,18560
16.5英寸416A5 5.56x45,16.5英寸416A5兼容枪管 5.56x45,33500,30000,20100,Jaeger,9900
20英寸416A5 5.56x45,20英寸416A5兼容枪管 5.56x45,37700,190000,22620,Jaeger,167380
加长掣子销,HK加长掣子销拉机柄,2917,22222,1633,Mechanic,20589
416A5,HK 416A5标准低轮廓型导气箍,2600,39999,1456,Mechanic,38543
四轨,HK 416兼容系统四导轨护木,8100,39699,4536,Mechanic,35163
四轨准星,HK 416兼容系统加长型四导轨折叠准星护木,8350,10000,4676,Mechanic,5324
加长四轨,HK 416兼容系统加长型四导轨护木,11300,77777,6328,Mechanic,71449
Battle Grip,HK Battle Grip Beavertail AR-15武器系统手枪式握把,2990,20000,1674,Mechanic,18326
Battle Grip,HK “Battle Grip” AR武器系统手枪式握把,2500,2400,1400,Mechanic,1000
 416A5折叠照门,HK 416A5可折叠照门,800,968,448,Mechanic,520
Enhanced Tube,HK “Enhanced Tube” 缓冲管,4990,80000,2994,Jaeger,77006
Slim Line,HK Slim Line枪托,5100,5000,3060,Jaeger,1940
HK 416A5,HK 416A5 5.56x45 突击步枪,21800,200000,12208,Mechanic,187792
三轨,Aim Sports “三轨” 莫辛步枪导轨,3215,22000,1929,Jaeger,20071
坦克手,莫辛步枪Tacfire坦克手型7.62x54R膛口制退器,3540,90000,1982,Mechanic,88018
Monte Carlo,ATI Monte Carlo莫辛步枪枪托,10758,30000,6454,Jaeger,23546
ATLAS-7,Odin Works Atlas-7 7.62x51 AR-10制退器,16383,21998,9174,Mechanic,12824
缓冲垫,Aim Sports莫辛步枪后座力缓冲垫,3889,55555,2333,Jaeger,53222
PGMN,Tacfire莫辛步枪手枪式握把,2263,35000,1267,Mechanic,33733
AK-74M Zenitco,AK-74M 5.45x39 突击步枪 Zenitco,89998,88888,50394,Mechanic,38494
M4A1 LVOA,柯尔特 M4A1 5.56x45 卡宾枪 LVOA,142380,0,79729,Mechanic,0
MBUS照门, Magpul MBUS Gen.2照门,3600,12000,2016,Mechanic,9984
MBUS准星, Magpul MBUS Gen.2准星,2444,39999,1368,Mechanic,38631
TPP,莫辛步枪Texas Precision Products 7.62x54R制退器,6756,7000,3783,Mechanic,3217
Witt,莫辛步枪Witt Machine 7.62x54R膛口制退器,10221,25000,5723,Mechanic,19277
MNG,Aim Sports莫辛步枪MNG导轨,1811,100000,1086,Jaeger,98914
蛋黄酱,DevilDog蛋黄酱,12134,37700,7644,Therapist,30056
#FireKlean,#FireKlean牌枪润滑油,36428,79000,22949,Therapist,56051
1GPhone,金色1GPhone,44639,28888,28122,Therapist,766
胡须油,Deadlyslob的胡须油,55449,35000,34932,Therapist,68
金鸡,金公鸡,90566,88000,57056,Therapist,30944
徽章,银徽章,60290,40000,37982,Therapist,2018
42,42nd Signature Blend英式茶,27754,17000,17485,Therapist,-485
书,破旧的古董书,63029,36000,39708,Therapist,-3708
斧,古董斧头,94600,90000,56760,Jaeger,33240
西鲱鱼,西鲱鱼罐头,8912,39000,5614,Therapist,33386
火镰,古董火镰,63402,33333,39943,Therapist,-6610
A1枪托,HK MP7A1标准枪托,2111,32000,1266,Jaeger,30734
MP7A1 默认,HK MP7A1 4.6x30 微型冲锋枪 默认,52741,89000,29533,Mechanic,59467
MP7A1 SEALS,HK MP7A1 4.6x30 微型冲锋枪 SEALS,170928,36000,95715,Mechanic,-59715
面具,瘦长鬼面具,16000,22000,9920,Ragman,12080
面具,Misha Mayorov的面具,15000,14999,9300,Ragman,5699
面具,杰森面具,15000,30000,9300,Ragman,20700
胡子,假胡子,22689,19999,14067,Ragman,5932
Kotton,Kotton无檐小便帽,24006,98000,14883,Ragman,83117
MP7A2,HK MP7A2 4.6x30 微型冲锋枪,45230,90000,25328,Mechanic,64672
A2枪托,HK MP7A2标准枪托,2110,33333,1266,Jaeger,32067
MP7A2 默认,HK MP7A2 4.6x30 微型冲锋枪 默认,53682,111111,30059,Mechanic,81052
立交桥,立交桥纸地图,9150,20000,5764,Therapist,14236
MPL-50,MPL-50挖掘工具,3560,6000,2136,Jaeger,3864
AK-12 std.,30发АК-12 5.45x39兼容弹匣,2750,15000,1540,Mechanic,13460
RPK-16 std.,95发RPK-16 5.45x39兼容弹匣,35600,99000,19936,Mechanic,79064
15英寸 RPK-16 5.45x39,15英寸 RPK-16 兼容枪管 5.45x39,12200,29999,7320,Jaeger,22679
22英寸 RPK-16 5.45x39,22英寸RPK-16兼容枪管 5.45x39,17300,50000,10380,Jaeger,39620
RPK-16 MB,Izhmash 5.45x39 RPK-16膛口制退补偿器,950,20000,532,Mechanic,19468
RPK-16 HG,Izhmash RPK-16标准护木,7750,40000,4340,Mechanic,35660
RPK-16缓冲管,Izhmash RPK-16缓冲管,2900,50000,1740,Jaeger,48260
AK-12常规,Izhmash AK-12标准枪托,5175,5640,3105,Jaeger,2535
AK-12常规,Izhmash AK-12标准手枪式握把,1725,12750,966,Mechanic,11784
RPK-16防尘盖,Izhmash RPK-16标准防尘盖,7200,30000,4032,Mechanic,25968
RPK-16照门,Izhmash RPK-16标准基础照门,800,35000,448,Mechanic,34552
RPK-16导轨,Izhmash RPK-16导轨,1058,19999,634,Jaeger,19365
RPK-16,RPK-16 5.45x39 轻机枪,22360,120000,12521,Mechanic,107479
AK-74,AK-74 5.45x39 突击步枪,21750,65432,12180,Mechanic,53252
AKS-74,AKS-74 5.45x39 突击步枪,23660,55000,13249,Mechanic,41751
RPK-16照门,Izhmash RPK-16照门,800,500,448,Mechanic,52
莫辛步兵型,莫辛-纳甘 7.62x54R 栓动式步枪（步兵型）,11500,35000,6900,Jaeger,28100
步兵式莫辛枪托,步兵式莫辛步枪枪托,2160,1000,1296,Jaeger,-296
锯短莫辛狙击枪托,锯短式莫辛狙击枪枪托,1750,10000,1050,Jaeger,8950
锯短莫辛枪托,锯短式莫辛标准步枪枪托,1600,22222,960,Jaeger,21262
莫辛狙击型卡宾枪托,莫辛步枪狙击型卡宾枪托,3580,32123,2148,Jaeger,29975
莫辛卡宾式枪托,莫辛卡宾式枪托,3320,3000,1992,Jaeger,1008
莫辛照门,莫辛卡宾枪照门,800,0,448,Mechanic,0
514毫米莫辛枪管,514毫米莫辛卡宾枪标准枪管,3920,4000,2352,Jaeger,1648
200毫米莫辛枪管,200毫米莫辛锯短枪管,2100,50000,1260,Jaeger,48740
220毫米莫辛枪管,220毫米莫辛锯短枪管,7350,11111,4410,Jaeger,6701
12003,Tactica Tula 12003 MP-133/153枪托转接器,2200,12222,1320,Jaeger,10902
AGR-870,Fab Defence AGR-870 雷明顿-870手枪式握把,2608,18888,1460,Mechanic,17428
AGR-870护盖,AGR-870保护盖,258,5000,144,Mechanic,4856
GLR-16-S,Fab Defence GLR-16-S枪托,4800,5500,2880,Jaeger,2620
AGR-870缓冲管,Fab Defence AGR-870缓冲管,1070,20000,642,Jaeger,19358
M700,雷明顿Model 700 7.62x51 狙击步枪,17500,60000,10500,Jaeger,49500
Wyatt 5发,M700 7.62x51 Wyatt's Outdoor 5发容量弹匣,1850,2000,1036,Mechanic,964
Wyatt 10发,M700 7.62x51 Wyatt's Outdoor 10发容量弹匣,3500,16999,1960,Mechanic,15039
Overmolded ghillie,M700 Hogue Overmolded Ghillie枪托,8500,10000,5100,Jaeger,4900
26英寸M700,M700 7.62x51 26英寸枪管,25400,188888,15240,Jaeger,173648
20英寸 M700 7.62x51,M700 7.62x51 20英寸螺纹枪管,22200,29999,13320,Jaeger,16679
多插槽,M700多插槽拓展Weaver导轨,2640,49999,1584,Jaeger,48415
Rem. integr.,M700 30毫米瞄具基座环,3400,12222,2040,Jaeger,10182
TT-206,PM-Laser LAM TT-206握把侧片,3490,3400,1954,Mechanic,1446
DTK-TT,PM-Laser DTK-TT TT手枪膛口制退器,3800,2128,2128,Mechanic,0
6h5,6h5刺刀,28040,18888,16824,Jaeger,2064
M-2,Miller Bros. Blades M-2 战术剑 ,785000,1500000,471000,Jaeger,1029000
SCA,冲击斧,450000,20000000,270000,Jaeger,19730000
Axelson,P226 Axelson Mk.25战术手枪套筒,9900,33333,5544,Mechanic,27789
Axelson P226,P226 Axelson Tactical MK25手枪式握把,3000,50000,1680,Mechanic,48320
Mascus P226,Hogue Chain Link P226手枪握把,8300,8299,4648,Mechanic,3651
3 Lug thr.,HK MP5 3-lug消音器转换器,2970,59900,1663,Mechanic,58237
Scorpion P226,西格-绍尔P226 Emperor Scorpion手枪握把,2450,0,1372,Mechanic,0
Wooden Elite P226,西格-绍尔Elite P226木制手枪握把,2000,39999,1120,Mechanic,38879
Stainless Elite P226,Sig P226 Stainless Elite手枪套筒,4250,35600,2380,Mechanic,33220
2英寸RAHG,雷明顿RAHG 2英寸导轨,1000,50000,600,Jaeger,49400
4英寸RAHG,雷明顿RAHG 4英寸导轨,1500,38888,900,Jaeger,37988
Scorpion P226,P226 Sig Emperor Scorpion手枪套筒,5780,5750,3236,Mechanic,2514
SP-8,SP-8生存砍刀,77500,40000,46500,Jaeger,-6500
Cylinder ,ME Cylinder 12铅径膛口转接器,2150,16666,1204,Mechanic,15462
Legion P226,P226 Sig Legion全尺寸手枪套筒,4120,5000,2307,Mechanic,2693
RedRebel,Red Rebel冰镐,1659945,500000,995967,Jaeger,-495967
营斧,野营斧,41200,27777,24720,Jaeger,3057
1P87,Valday PK-120 (1P87) 反射式瞄具,19225,14000,10766,Mechanic,3234
PS320 1/6x,Valday PS-320 1x/6x瞄准镜,38120,60000,22872,Jaeger,37128
TA01NSN,Trijicon ACOG TA01NSN 4x32瞄准镜,27663,118887,16597,Jaeger,102290
Trij.备瞄,Trijicon ACOG备用照门,2400,5000,1344,Mechanic,3656
TA01NSN,Trijicon ACOG TA01NSN 4x32 瞄准镜（黄褐色）,26885,20000,16131,Jaeger,3869
除颤器,便携式除颤器,224600,400000,141498,Therapist,258502
SG-C10,军用COFDM无线信号发射器,145500,99999,91665,Therapist,8334
RFIDR,UHF RFID固定式读取器 ,48000,84999,30240,Therapist,54759
VPX,VPX闪存模块,152400,140000,96012,Therapist,43988
Virtex,Virtex可编程处理器,120000,84778,75600,Therapist,9178
LEDX,LEDX皮肤透照仪,970000,949999,611100,Therapist,338899
HK 钢制,HK Steel Maritime5 5.56x45 STANAG 30发弹匣,3620,21111,2027,Mechanic,19084
CWP,Arsenal CWP 30发SLR-106 5.56x45兼容弹匣,2400,34444,1344,Mechanic,33100
GPNVG-18,GPNVG-18夜视仪,145004,300000,87002,Jaeger,212998
QD LT-101,La Rue Tactical QD LT-101皮卡汀尼立管导轨基座,2900,17500,1740,Jaeger,15760
LA-5,LA-5战术设备,16258,20000,9104,Mechanic,10896
N-15,Armasight N-15夜视仪,74800,45000,44880,Jaeger,120
夜视镜头罩,Armasight夜视镜头罩基座,19100,44444,11842,Ragman,32602
SG-919 30,PUFGUN SG-919 30 9x19 30发PP-19-01弹匣,3350,3800,1876,Mechanic,1924
SG-919 20,PUFGUN SG-919 30 9x19 20发PP-19-01弹匣,1850,3000,1036,Mechanic,1964
电线,电线,7400,52000,4662,Therapist,47338
电容,电容,2500,70000,1575,Therapist,68425
仿版Hogue,仿制版Hogue TT橡胶握把,2700,2699,1512,Mechanic,1187
10T转接器,PNV-10T燕尾槽转接器,2310,17777,1386,Jaeger,16391
PNV-10T,PNV-10T夜视仪,28000,29999,16800,Jaeger,13199
SSh-68,SSh-68头盔（1968钢盔）,26201,25000,16244,Ragman,8756
Razor A. TT,Razor Arms TT橡胶握把,4900,5000,2744,Mechanic,2256
Precision,DLP “战术精密” TT手枪LAM模块,4600,8888,2576,Mechanic,6312
Gen.3,Noveske Gen.3 5.56x45 AR系统上机匣,25150,72000,14084,Mechanic,57916
TDNS准星,Meprolight “Tru Dot Night Sight” P226准星,1500,1499,840,Mechanic,659
TDNS照门,Meprolight “Tru Dot Night Sight” P226照门,1400,20000,784,Mechanic,19216
Noveske型,HK MP5 Noveske-style 9x19膛口制退补偿器,8900,100000,4984,Mechanic,95016
ADAR 2-15,ADAR 2-15 .223 卡宾枪,6300,1000000,3528,Mechanic,996472
尾盖,HK MP5机匣尾盖,2620,0,1572,Jaeger,0
HHS-1,EOTech HHS-1 复合瞄具,51200,200000,28672,Mechanic,171328
撬棍,Freeman撬棍,18200,40000,10920,Jaeger,29080
SHPM,SHPM消防盔,9200,114514,5704,Ragman,108810
1Sch面罩,Maska-1SCh 面罩（橄榄绿）,72250,43333,44795,Ragman,-1462
Maska-1SCh,Maska-1SCh 防弹头盔（橄榄绿）,62132,111111,38521,Ragman,72590
Kappa,Kappa安全箱,4900000,0,0,无,0
Holodilnick,Mr. Holodilnick保温箱,340000,900000,214200,Therapist,685800
狗牌,狗牌包,310000,215000,195300,Therapist,19700
HHS-1褐,EOTech HHS-1 复合瞄具（黄褐色）,61200,55399,34272,Mechanic,21127
T H I C C,T H I C C物品箱,3100000,40000000,1953000,Therapist,38047000
AK-74 默认,AK-74 5.45x39 突击步枪 默认,31476,40000,17622,Mechanic,22378
AKS-74 默认,AKS-74 5.45x39 突击步枪 默认,33098,20000,18530,Mechanic,1470
M700 默认,雷明顿Model 700 7.62x51 狙击步枪 默认,50550,69900,28920,Jaeger,40980
M700 AAC SD,雷明顿Model 700 7.62x51 狙击步枪 AAC SD,156843,60000,87832,Mechanic,-27832
莫辛步兵型 Carbine,莫辛-纳甘 7.62x54R 栓动式步枪（步兵型） Carbine,22034,32000,12338,Mechanic,19662
莫辛步兵型 默认,莫辛-纳甘 7.62x54R 栓动式步枪（步兵型） 默认,21433,34800,12000,Mechanic,22800
莫辛狙击型 Carbine,莫辛-纳甘 7.62x54R 栓动式步枪（狙击型） Carbine,41070,89000,22996,Mechanic,66004
莫辛步兵型 Obrez,莫辛-纳甘 7.62x54R 栓动式步枪（步兵型） Obrez,17170,0,9615,Mechanic,0
莫辛狙击型 Obrez,莫辛-纳甘 7.62x54R 栓动式步枪（狙击型） Obrez,27447,200000,15370,Mechanic,184630
莫辛狙击型 Obrez M,莫辛-纳甘 7.62x54R 栓动式步枪（狙击型） Obrez M,29862,300000,16735,Jaeger,283265
HK 416A5 默认,HK 416A5 5.56x45 突击步枪 默认,88157,999999,49366,Mechanic,950633
RPK-16 默认,RPK-16 5.45x39 轻机枪 默认,63976,70000,35825,Mechanic,34175
Djeta,"PSH-97 ""Jeta""头盔",10299,14000,6385,Ragman,7615
Proximity,Pyramex Proximity防护眼镜,3200,10000,1984,Ragman,8016
RIP,9x19毫米 RIP,422,1677,236,Mechanic,1441
12/70 RIP,12/70 RIP,700,500,392,Mechanic,108
WG,5.56x45毫米 Warmage,130,350,72,Mechanic,278
7N39,5.45x39毫米 7N39“Igolnik”,1240,5000,694,Mechanic,4306
SPP,9x39毫米 7N9 SPP,440,1200,246,Mechanic,954
BP,9x39毫米 7N12 BP,1300,44444,728,Mechanic,43716
2-15上机匣,ADAR 2-15 5.56x45 2-15突击步枪上机匣,3320,170000,1859,Mechanic,168141
2-15木制,ADAR 2-15 AR-15兼容木质枪托,1600,2000,896,Mechanic,1104
406毫米AR-15 5.56x45,406毫米AR-15兼容Molot枪管 5.56x45,16200,20000,9720,Jaeger,10280
2-15木制,ADAR 2-15木质枪托,5119,4000,3071,Jaeger,929
6B5-16,6B5-16 Zh-86 Uley 防弹胸挂（卡其色）,51044,40000,31647,Ragman,8353
6B5-15,6B5-15 Zh-86 Uley 防弹胸挂（丛林迷彩）,58140,66666,36046,Ragman,30620
6B13 FL,6B13 突击甲（丛林迷彩）,30655,80000,19006,Ragman,60994
Propital,Propital,21060,90000,13267,Therapist,76733
SJ1 TGLabs,SJ1 TGLabs战斗兴奋剂注射器,35893,29999,22612,Therapist,7387
SJ6 TGLabs,SJ6 TGLabs战斗兴奋剂注射器,27950,200000,17608,Therapist,182392
Zagustin,Zagustin止血剂,33540,42000,21130,Therapist,20870
eTG-c,eTG-change再生兴奋剂注射器,37830,150000,23832,Therapist,126168
6B13 EMR,6B13 突击甲（数码丛林迷彩）,30655,95000,19006,Ragman,75994
6B13 Killa,6B13 M 突击甲（Killa 版）,208541,149999,129295,Ragman,20704
6B23-2 山地,6B23-2 防弹衣（山地丛林迷彩）,34794,50000,21572,Ragman,28428
6B23-1,6B23-1护甲（数码丛林迷彩）,25077,30000,15547,Ragman,14453
Zhuk,BNTI Zhuk 防弹衣（战地记者版）,16319,45000,10117,Ragman,34883
Zhuk-6a,BNTI Zhuk 防弹衣（数码丛林迷彩）,141150,1888888,87513,Ragman,1801375
Trooper,HighCom Trooper TFO 防弹背心（复合迷彩）,75760,132969,46971,Ragman,85998
SLAAP,Ops-Core SLAAP 附加防弹板（黄褐色）,111625,249999,69207,Ragman,180792
Poyas组合,Poyas-A + Poyas-B 复合胸挂,41325,150000,25621,Ragman,124379
ANA M1,ANA Tactical M1 插板胸挂（橄榄绿）,38032,77777,23579,Ragman,54198
TV-110,WARTECH TV-110 插板胸挂（灰褐色）,49042,99555,30406,Ragman,69149
Blackjack 50,Mystery Ranch Blackjack 50背包（组合迷彩）,126700,377777,78554,Ragman,299223
Paratus,3V G Paratus 3-Day Operator's战术背包,58900,290000,36518,Ragman,253482
1Sch面罩,Maska-1SCh 防弹面罩（Killa 版）,92190,65555,57157,Ragman,8398
Maska-1SCh KE,Maska-1SCh 防弹头盔（Killa 版）,67397,94000,41786,Ragman,52214
TT Brunner,托卡列夫 TT-33 7.62x25 手枪 Brunner,19811,21999,11092,Mechanic,10907
Commando,Blackhawk! Commando胸挂（黑）,28618,45000,17743,Ragman,27257
Aquamari,Aquamari带滤嘴水瓶,31612,25555,19915,Therapist,5640
ADAR St.,ADAR缓冲管,800,900,480,Jaeger,420
ADAR 2-15机柄,ADAR 2-15 AR-15拉机柄,603,0,337,Mechanic,0
ADAR消焰,ADAR 2-15.56x45消焰器,907,25000,507,Mechanic,24493
肾上腺素,肾上腺素注射器,31460,17000,19819,Therapist,-2819
ADAR 2-15 默认,ADAR 2-15 .223 卡宾枪 默认,39420,38888,22072,Mechanic,16816
W-PVS7,PVS-7 Wilcox接口,2454,40000,1472,Jaeger,38528
T-7,T7 热成像目镜（附夜视仪基座）,480000,28900000,288000,Jaeger,28612000
Warmage,5.56x45mm Warmageddon子弹（20发装）,3600,0,2016,Mechanic,0
DIPP,9x19mm RIP子弹（20发装）,9440,0,5286,Mechanic,0
12/70 DIPP,12/70 RIP子弹（5发装）,4500,0,2520,Mechanic,0
M1A 2k18 NY,春田 M1A 7.62x51 精确射手步枪 2k18 NY,233957,350000,131009,Mechanic,218991
7N12,9x39mm 7N12 BP子弹（8发装）,11400,0,6384,Mechanic,0
情报,情报文件夹,69000,219000,31050,Peacekeeper,187950
7N9,9x39mm 7N9 SPP弹药包（8发装）,4520,0,2531,Mechanic,0
Tetriz,Tetriz便携式游戏机,120000,120000,75600,Therapist,44400
7N39,5.45x39mm 7N39弹药包（30发装）,38200,0,21392,Mechanic,0
GPX,损坏的GPhone X,32000,29900,20160,Therapist,9740
Prokill,Prokill带链奖章,85000,99999,53550,Therapist,46449
绳索,尼龙绳索,22500,45000,14175,Therapist,30825
弹匣箱,弹匣箱,235000,300000,148050,Therapist,151950
肥皂,肥皂,3890,12000,2450,Therapist,9550
厕纸,卫生纸,8800,12222,5544,Therapist,6678
战术运动型,Peltor战术运动型耳机,44500,50000,27590,Ragman,22410
CMRD,VLTOR CMRD Keymod AK护木,28100,30000,15736,Mechanic,14264
KAC照门,KAC折叠式照门,3325,50000,1862,Mechanic,48138
KAC准星,KAC折叠式准星,2233,9000,1250,Mechanic,7750
Chops,Crye Airframe 护颚,59675,300000,36998,Ragman,263002
CP护耳,Crye Airframe 护耳,48125,160000,29837,Ragman,130163
AirFrame,Crye Precision AirFrame 头盔（黄褐色）,87457,188888,54223,Ragman,134665
MBUS准星, Magpul MBUS Gen.2准星 FDE,2400,65500,1344,Mechanic,64156
MBUS照门, Magpul MBUS Gen.2照门 FDE,3600,34000,2016,Mechanic,31984
M Frame,Oakley SI M Frame 护目镜,4700,5000,2914,Ragman,2086
胡子,假白胡子,7500,94000,4650,Ragman,89350
RK-0,Zenit RK-0前握把,6300,58888,3528,Mechanic,55360
RK-1,Zenit RK-1前握把,11380,24000,6372,Mechanic,17628
RK-2,Zenit RK-2前握把,15670,44444,8775,Mechanic,35669
RK-4,Zenit RK-4前握把,5890,15800,3298,Mechanic,12502
RK-5,Zenit RK-5前握把,6010,16666,3365,Mechanic,13301
RK-6,Zenit RK-6前握把,5540,8000,3102,Mechanic,4898
B-25U RK-1,Zenit RK-1 B-25U基座前握把,18890,120000,10578,Mechanic,109422
短,Kiba Arms Short Mount瞄准镜转接器,1000,29999,600,Jaeger,29399
Prism 2.5x,Kiba Arms Short Prism 2.5倍瞄准镜,17500,20000,10500,Jaeger,9500
蓝卡,实验室钥匙卡·蓝,900000,747777,567000,Therapist,180777
黄卡,实验室钥匙卡·黄 ,350000,355554,220500,Therapist,135054
绿卡,实验室钥匙卡·绿 ,1700000,1450000,1071000,Therapist,379000
红卡,实验室钥匙卡·红,1650000,1000000,1039500,Therapist,-39500
黑卡,实验室钥匙卡·黑,750000,1400000,472500,Therapist,927500
Lk.MO,实验室钥匙·经理办公室,50000,175995,31500,Therapist,144495
Lk.TA（w）,实验室钥匙·实验区（武器）,60000,125995,37800,Therapist,88195
紫卡,实验室钥匙卡·紫,600000,800000,378000,Therapist,422000
Lk.ASR,实验室钥匙·军械库储备室,90000,4000000,56700,Therapist,3943300
绿色曳光,9x19毫米 绿色曳光弹,72,399,40,Mechanic,359
SVDS,德拉贡诺夫 SVDS 7.62x54 半自动狙击步枪,42800,110777,25680,Jaeger,85097
SVDS枪托,SVDS聚合物枪托,1626,100000,975,Jaeger,99025
SVDS照门,SVDS照门,878,2000,491,Mechanic,1509
SVDS准星,SVDS准星,524,500,293,Mechanic,207
SVDS防尘盖,Izhmash SVDS防尘盖,1109,8888,621,Mechanic,8267
SVDS,Izhmash SVDS手枪式握把,764,7990,427,Mechanic,7563
SVDS,Izhmash 7.62x54 SVDS制退补偿器,602,1000,337,Mechanic,663
SVDS UB,SVDS照门固定环,5588,90000,3352,Jaeger,86648
SVD,SVD 7.62x54 10发弹匣,3750,4000,2100,Mechanic,1900
SVDS,SVDS聚合物护木 FG,1580,5000,884,Mechanic,4116
SVDS导气管,SVDS导气管,2520,2700,1411,Mechanic,1289
22英寸SVDS,22英寸SVDS枪管 7.62x54,24400,140000,14640,Jaeger,125360
MDR,DT MDR 5.56x45 突击步枪,45230,80000,25328,Mechanic,54672
MDR,MDR护木（FDE）,8665,99999,4852,Mechanic,95147
16英寸MDR556,MDR 5.56x45 16 英寸枪管,37267,50000,22360,Jaeger,27640
MDR 556,Desert Tech 5.56x45膛口制退器,4230,29000,2368,Mechanic,26632
MDR,MDR手枪式握把（FDE）,2320,19999,1299,Mechanic,18700
Mk.2.0,SV-98 SRVV Mk.2.0 7.62x54R膛口制退补偿器,7800,33152,4368,Mechanic,28784
螺纹转接器,7.62x54 SV-98螺纹转接器,4817,45000,2697,Mechanic,42303
SV-98消音器,SV-98 7.62x54标准消音器,36742,60600,20575,Mechanic,40025
SV-98隔热板,SV-98消音器隔热板,400,12000,224,Mechanic,11776
Hunter,Vepr Hunter/VPO-101 7.62x51卡宾枪,38978,80000,21827,Mechanic,58173
VPO-101导气管,VPO-101导气管,1750,11111,980,Mechanic,10131
VPO-101,7.62x51 5发VPO-101兼容金属弹匣,1100,1000,616,Mechanic,384
VPO-101,7.62x51 10发VPO-101兼容金属弹匣,3850,11111,2156,Mechanic,8955
VPO-101枪托,VPO-101 “Vepr Hunter”标准枪托,2853,1500,1711,Jaeger,-211
Vepr照门,VPO-101标准照门,300,11111,168,Mechanic,10943
VPO-101,Molot VPO-101防尘盖,1020,11111,571,Mechanic,10540
Perst-3,Zenit Perst-3战术设备,17050,19000,9548,Mechanic,9452
OEM 14英寸,Lancer OEM M-LOK 14英寸MPX护木,14200,45000,7952,Mechanic,37048
AALVX 35,ProMag AALVX 35 7.62x39 35发SKS弹匣,16690,63333,9346,Mechanic,53987
4.5英寸MPX 9x19,4.5英寸MPX枪管 9x19,3800,0,2280,Jaeger,0
